"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002237","response to molecule of bacterial origin","71/1653","375/18860",0.189333333333333,2.16020971970155,7.03372822317786,3.81854248819019e-10,1.04646247712069e-07,8.92333086713917e-08,"CXCL10/CD274/CMPK2/CD68/CXCL9/RPL13A/GBP5/TRIM5/HAVCR2/TSPO/CCL2/GPX4/IDO1/SLPI/CARD16/GBP2/CASP1/IL10RA/PDCD1LG2/LILRB1/SLC11A1/CD86/TLR2/TLR1/TNFRSF1B/FASLG/CYRIB/CCR5/SCGB1A1/ABCA1/P2RX7/CX3CR1/TLR6/AKT1/IRF8/SOD2/NLRP3/SELENOW/CD55/TRIM6/SIGIRR/THBD/MIF/GCH1/LGALS9/VIM/IRAK2/JAK2/SELENOS/CASP7/CASP8/SLC7A5/CARD8/PDE4B/NFKBIZ/PRDX2/NOCT/C2/GSTP1/TNIP1/MAPK14/LYN/ARID5A/TNFAIP3/SPI1/FOSL2/NOD2/CD80/TAP2/STAP1/CSF2RB",71
"GO:0002221","pattern recognition receptor signaling pathway","64/1653","325/18860",0.196923076923077,2.24680534226814,7.0272793403118,5.37061348997799e-10,1.40490366521924e-07,1.19798086556351e-07,"OAS3/CD274/DDX60/RSAD2/IFI16/EIF2AK2/OASL/GBP5/OAS1/LRCH4/CASP4/HAVCR2/CLEC4E/IRF7/TLR8/GBP2/CASP1/PIK3AP1/AIM2/CLEC7A/IRF1/ZC3HAV1/TLR2/TLR1/WDFY1/USP15/CD300LF/NAIP/P2RX7/TLR6/FFAR2/AKT1/MEFV/TLR3/NMI/NOP53/NLRP3/TRIM25/ZDHHC1/ECSIT/TRAF3IP3/IFI35/RICTOR/TKFC/IRAK2/UNC93B1/TREML4/CARD8/NFKBIZ/NOD1/KCNK6/TRIM3/ABHD17A/APPL2/EPG5/BIRC3/TNIP1/MAPK14/LYN/TNFAIP3/NOD2/PHB2/NLRP1/BIRC2",64
"GO:0032496","response to lipopolysaccharide","67/1653","350/18860",0.191428571428571,2.18411546106646,6.93055544475324,7.39776906263979e-10,1.85105047632574e-07,1.57841644714081e-07,"CXCL10/CD274/CMPK2/CD68/CXCL9/RPL13A/GBP5/TRIM5/HAVCR2/TSPO/CCL2/GPX4/IDO1/SLPI/CARD16/GBP2/CASP1/IL10RA/PDCD1LG2/LILRB1/SLC11A1/CD86/TLR2/TNFRSF1B/FASLG/CCR5/SCGB1A1/ABCA1/P2RX7/CX3CR1/AKT1/IRF8/SOD2/NLRP3/SELENOW/CD55/TRIM6/SIGIRR/THBD/MIF/GCH1/LGALS9/VIM/IRAK2/JAK2/SELENOS/CASP7/CASP8/SLC7A5/CARD8/PDE4B/NFKBIZ/PRDX2/NOCT/C2/GSTP1/TNIP1/MAPK14/LYN/ARID5A/TNFAIP3/SPI1/FOSL2/NOD2/CD80/STAP1/CSF2RB",67
"GO:0002274","myeloid leukocyte activation","54/1653","255/18860",0.211764705882353,2.41614177431408,7.05675703395194,7.98025956290085e-10,1.9135997410206e-07,1.63175307378262e-07,"HAVCR2/PLSCR1/TMEM106A/LILRB4/GAB2/LCP2/CLU/CD84/PRAM1/FCGR3A/PTPRE/SLC11A1/S100A13/FCER1G/TLR1/NR4A3/BATF2/CD300LF/JUN/CX3CR1/PTPRC/MILR1/TLR6/CLEC12A/ADGRE2/TLR3/NMI/CD93/RHOH/SUCNR1/PREX1/CCL3/SCNN1B/IFI35/MIF/LGALS9/MAPT/CD226/DOCK2/JAK2/CBL/CD2/CCL5/IL16/PLA2G10/CD37/LYN/SPI1/VSIG4/ENPP3/LRRK2/FPR2/STAP1/TGFB1",54
"GO:0001906","cell killing","57/1653","281/18860",0.202846975088968,2.31439440422138,6.88035539663201,1.49923739003745e-09,3.45124447186621e-07,2.94292408941246e-07,"CXCL10/GBP1/CXCL11/CXCL9/GBP5/SLAMF7/HAVCR2/RPL30/ROMO1/GBP2/CLU/MICA/RPS19/MICB/FCGR3A/TUBB4B/LILRB1/IGHG1/LGALS3/CD59/CYRIB/CCL22/SERPINB9/P2RX7/RNF19B/APOL1/NTS/CX3CR1/PTPRC/CEACAM1/CTSH/LYST/KLRD1/STAT5A/CD55/CCL8/HTN3/PRF1/SCNN1B/LGALS9/CD226/CD2/GSDMB/GZMA/C2/HMGN2/INPP5D/FCGR2A/FCGR1A/ICAM1/SPI1/FCGR3B/HTN1/TAP2/STAP1/NCKAP1L/TGFB1",57
"GO:0043123","positive regulation of canonical NF-kappaB signal transduction","50/1653","232/18860",0.21551724137931,2.45895654713478,6.9302102859458,1.79409761871936e-09,3.97116607528075e-07,3.3862684609189e-07,"IFIT5/TRIM22/TRIM38/TRIM5/APOL3/TMEM106A/CARD16/CFLAR/TLR8/TNFSF10/CASP1/CLEC7A/TNFSF14/AKAP13/ZC3HAV1/S100A13/TLR2/FASLG/CASP10/USP15/JMJD8/CX3CR1/TLR6/TLR3/TNFSF15/NAMPT/TRIM25/INSR/CARD14/REL/LGALS9/MIER1/IRAK2/CASP7/CASP8/TNFRSF19/TRADD/PLEKHG5/NOD1/S100A4/BIRC3/CD4/ADIPOQ/TNFRSF1A/NOD2/DDX21/SHISA5/RBX1/BIRC2/TGFB1",50
"GO:2000106","regulation of leukocyte apoptotic process","29/1653","97/18860",0.298969072164948,3.41110508229336,7.37894110472908,2.08231550024749e-09,4.43841692737936e-07,3.78469975132701e-07,"CD274/IDO1/IRF7/DOCK8/LILRB1/EFNA1/FCER1G/NR4A3/LGALS3/CCR5/P2RX7/HSH2D/STAT5A/PERP/HCAR2/ORMDL3/HIF1A/HCLS1/MIF/LGALS9/JAK3/SELENOS/CCL5/PRKCQ/SLC7A11/LYN/GIMAP8/NOD2/BCL6",29
"GO:0050729","positive regulation of inflammatory response","42/1653","179/18860",0.23463687150838,2.67710308327165,6.98762178806463,2.47834866801526e-09,5.09389163729566e-07,4.3436321392057e-07,"GBP1/PLA2G7/GBP5/CASP4/IDO1/CCR1/CASP5/GBP2/CASP1/RPS19/AIM2/FCER1G/TLR2/NAIP/TLR6/FFAR2/CD81/MEFV/STAT5A/TLR3/NMI/NLRP3/SUCNR1/CCL3/DDT/IFI35/NUPR1/CASP8/TRADD/CARD8/CCL5/IL16/NFKBIZ/TNIP1/FCGR1A/TNFRSF1A/LILRA5/NLRP1/LRRK2/PTGS2/STAP1/TGFB1",42
"GO:0071706","tumor necrosis factor superfamily cytokine production","45/1653","201/18860",0.223880597014925,2.5543787415012,6.86679167645876,3.29654031431934e-09,6.32386316963593e-07,5.39244594573921e-07,"OAS3/CD274/OAS2/OAS1/HAVCR2/TSPO/TMEM106A/LILRB4/CLU/CLEC7A/FCGR3A/LILRB1/CD86/FCER1G/TLR2/TLR1/CYBB/CHRNA7/CLEC4A/CX3CR1/PTPRC/ARHGEF2/TLR6/ERRFI1/TLR3/CCL3/DDT/MIF/LGALS9/JAK2/SELENOS/SPN/CD2/NOD1/GSTP1/SELENOK/FCGR2A/FCGR1A/ADIPOQ/ARID5A/TNFAIP3/NOD2/LILRA5/LRRK2/TGFB1",45
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","45/1653","201/18860",0.223880597014925,2.5543787415012,6.86679167645876,3.29654031431934e-09,6.32386316963593e-07,5.39244594573921e-07,"OAS3/CD274/OAS2/OAS1/HAVCR2/TSPO/TMEM106A/LILRB4/CLU/CLEC7A/FCGR3A/LILRB1/CD86/FCER1G/TLR2/TLR1/CYBB/CHRNA7/CLEC4A/CX3CR1/PTPRC/ARHGEF2/TLR6/ERRFI1/TLR3/CCL3/DDT/MIF/LGALS9/JAK2/SELENOS/SPN/CD2/NOD1/GSTP1/SELENOK/FCGR2A/FCGR1A/ADIPOQ/ARID5A/TNFAIP3/NOD2/LILRA5/LRRK2/TGFB1",45
