"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","shrunkenLog2FoldChange"
"DMAC1",6.92546085813017,-2.48487881280545,0.350114297268528,-7.09733601909898,1.27184571778908e-12,5.32399057825622e-11,-2.39900047117304
"APOL3",29.5464770564403,2.0932332727388,0.295000154935823,7.09570228257738,1.28696261229169e-12,5.37386925620108e-11,2.0193293251065
"MID1IP1",14.5378738497908,-2.18229051392692,0.30789195052681,-7.08784529830342,1.36216114025648e-12,5.67375605467627e-11,-2.1041858309169
"NDUFB2",13.5320192221143,-2.17641370894286,0.307186042822768,-7.08500193870641,1.39042355446224e-12,5.77714103594137e-11,-2.09513320965345
"SIM1",5.84737467436649,4.07367681869829,0.575092352941696,7.08351762610081,1.40540507862659e-12,5.82497028390762e-11,5.13187058316253
"FCER1G",35.7208568473114,2.24800223370372,0.31758860926056,7.07834654063232,1.4588455072395e-12,6.03157159717295e-11,2.17797218364712
"CLSTN1",28.4442630025684,-2.27110096107302,0.321253987947998,-7.06948721657783,1.55507256675302e-12,6.41362361314894e-11,-2.19097056063784
"PLTP",11.4436541570776,-2.47202561844038,0.350097964344246,-7.06095399060839,1.6536334602987e-12,6.80340472170929e-11,-2.38673744137581
"S100A2",5.97016011848387,-2.54370925801689,0.36030361865879,-7.05990483105805,1.66616676762188e-12,6.83820913479239e-11,-2.44953283807529
"LRRC10B",12.4502690640736,-2.45691324610607,0.348285680264825,-7.05430451300183,1.73466128846644e-12,7.10195716785308e-11,-2.36641382052683
"PSENEN",9.21905434325947,-2.12190746176443,0.300824319568346,-7.0536433517382,1.7429276878586e-12,7.11652621645821e-11,-2.0497269708037
"SSBP4",11.2382151940253,-2.25250890424881,0.319353388343499,-7.05334274338744,1.74669891646657e-12,7.11652621645821e-11,-2.17450201592449
"C19orf53",8.63422493790346,-2.28205957360076,0.32369165255387,-7.05010325597126,1.78785071158065e-12,7.26655255317016e-11,-2.19813199730202
"STOML3",24.2720009531183,-2.09193708882544,0.296766255362548,-7.04910700264694,1.80069644627071e-12,7.3010846732126e-11,-2.02035024673572
"EIF3F",17.3196173731968,-1.82447413168725,0.258978793244617,-7.04487849691984,1.85623410254941e-12,7.50813148081794e-11,-1.76645137270294
"PLIN2",45.4215850281658,2.59197200943232,0.368258581374328,7.03845650998591,1.9438095078799e-12,7.84345826905579e-11,3.12602400914338
"MRPL23",3.08698616523444,-3.64510869829372,0.51855792411143,-7.02931828597502,2.07545050770783e-12,8.35455928594332e-11,-3.35536385820516
"EIF3C",130.569843003106,-1.47039390014053,0.209275166406843,-7.02612701443037,2.12345175103714e-12,8.52733518969125e-11,-1.42954286563938
"CALML4",15.7247611100726,-2.00095654702884,0.284954296324486,-7.02202624364115,2.18673447320661e-12,8.76050712822103e-11,-1.9324056833732
"PHB2",27.4052322585689,-1.95133739261034,0.27816249288545,-7.01509888112026,2.2978638622295e-12,9.18379590271057e-11,-1.88652269043192
"CCDC33",19.8895986477612,-2.32176768642281,0.331205707796059,-7.01004732639586,2.38237524906876e-12,9.49894321398296e-11,-2.23741017516599
"BMERB1",7.20618099606855,-2.26520783793195,0.323429414347796,-7.00371622816001,2.49260729872183e-12,9.90099522292652e-11,-2.18082971278354
"SELENBP1",37.442228628891,-1.84333815140178,0.263199361164911,-7.00358140400963,2.49500832795062e-12,9.90099522292652e-11,-1.78436033642618
"AKR7A2",5.02456938719405,-2.60331861900164,0.371805295078621,-7.00183309237473,2.52634948080116e-12,1.00017222605491e-10,-2.51055155384185
"KLF15",10.0165223382984,-2.62929806660231,0.375614976302041,-6.99998198284839,2.55995427181456e-12,1.01109158603951e-10,-2.52930165926509
"FBXW9",3.02943194841829,-3.60591554372114,0.515227455093367,-6.99868671219724,2.58372873749624e-12,1.01808616402845e-10,-3.48007815703154
"POR",20.1125207160217,-2.3533072798027,0.33718992209423,-6.97917442249372,2.96919663191864e-12,1.16723500382638e-10,-2.26780638790494
"SELENOK",13.3229013596304,-1.98853587129613,0.284995474945188,-6.97742962999178,3.00629310378684e-12,1.17905691682631e-10,-1.91868825219213
"MAPK8IP1",15.8387071750498,-2.1969867646143,0.315035029651002,-6.97378563599144,3.08524079843465e-12,1.20719934831058e-10,-2.12156062629543
"SGSM3",19.3006113674116,-2.17235476016815,0.311528573033853,-6.97321192406991,3.0978542005854e-12,1.20931582816341e-10,-2.09415773192862
"CXXC5",17.9415960956739,-2.11481051166818,0.303598337453032,-6.9658171695204,3.26502943168499e-12,1.2686755564876e-10,-2.03934543842547
"GNAS",208.405203473602,-1.3788857480796,0.197949394949186,-6.96584977404734,3.26427326417254e-12,1.2686755564876e-10,-1.33937824929106
"STEAP3",13.6341826316178,-2.50529257558655,0.359781744301339,-6.96336769518859,3.3223317572215e-12,1.28795983549007e-10,-2.40277115416066
"GSTP1",55.5471654952749,-2.02476587348704,0.290825940759548,-6.96212266415772,3.35183449500796e-12,1.29640308371437e-10,-1.95572891059033
"CCDC146",74.6292795981396,-1.55258607075758,0.223161734082977,-6.95722354523507,3.47044057117093e-12,1.3391911592569e-10,-1.50449721099725
"DYNLRB2",5.75621590417233,-2.88782313390426,0.415251858821256,-6.95438942068004,3.54092253167631e-12,1.36325517469538e-10,-2.78654475738502
"CFAP53",22.1521949788841,-1.99829799820705,0.287359131532544,-6.9540090393151,3.5504884408067e-12,1.36381004502017e-10,-1.92859885773243
"CHCHD6",1.76341876974035,-3.34815000050722,0.481768009071467,-6.94971425554026,3.66026830931741e-12,1.40276858082653e-10,-3.28238115564506
"TMEM59",61.0735461880603,-1.49891442370326,0.215865719765357,-6.94373532459232,3.81865655609015e-12,1.46013596698244e-10,-1.45245618453448
"FAM166A",4.73240341487907,-2.92827786608429,0.421997887429541,-6.93908181370506,3.94656539810722e-12,1.50415367137504e-10,-2.83060772265414
"MT-CO2",12904.8440449756,-0.342645328949448,0.049380365186345,-6.93889823731395,3.95169646774926e-12,1.50415367137504e-10,-0.34093530028215
"AURKAIP1",4.51186056786778,-3.08957921461694,0.445710447467996,-6.9318079308401,4.15495846715193e-12,1.57794418166544e-10,-2.97112271895262
"NDUFS6",3.78701954076142,-3.37820964742478,0.487647316055555,-6.92756739594138,4.28138594599605e-12,1.622287685993e-10,-3.13337773691852
"DDIT4",16.2047929673141,-2.2469534301963,0.324601421458336,-6.92219220760467,4.44707283010575e-12,1.68127397581431e-10,-2.16345289678031
"ELMO3",2.94021383576933,-3.39966296742868,0.491378351033884,-6.91862586187532,4.560455150679e-12,1.72026517211905e-10,-3.29139393434629
"ALDH3B1",80.1486899737652,-1.82291604852016,0.26355215334713,-6.91671847628259,4.62225347510042e-12,1.73966696935058e-10,-1.76246226895884
"NDUFC2",5.36685249797938,-2.25459423456109,0.325999491028118,-6.91594403246057,4.64757872119011e-12,1.74528537838696e-10,-2.17471967045935
"BICD2",19.9579679802611,-2.24504778662541,0.324673287262678,-6.9147905747141,4.6855505316489e-12,1.7556172148272e-10,-2.16154554808403
"GREB1",13.9278001952298,3.29790588165167,0.477055609028198,6.91304288061883,4.74366477117706e-12,1.77343333739372e-10,3.31945367076397
"ERP29",12.7590678513419,-1.91327252125477,0.276780863775637,-6.91258960303592,4.75885215986394e-12,1.77515760789947e-10,-1.84631884479924
"TRIM5",34.4606486755782,1.87893104101483,0.271923862043446,6.90976888491906,4.85443922406644e-12,1.80679859900619e-10,1.81120144955633
"C1orf194",11.670464268882,-1.99270046592361,0.288412446780514,-6.90920412127736,4.87380254392796e-12,1.80999224562776e-10,-1.92138205691245
"IFI6",38.345287807628,1.84714851418733,0.267554452569139,6.90382274131658,5.06214597617308e-12,1.87165599903175e-10,1.78447953087198
