"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BTRC",15.9709932590679,-0.301627654046303,0.183037654693579,-1.64789946938106,0.0993733023288096,0.26408032334587
"AKR7L",2.73081651983414,-0.584397141047152,0.354747944598313,-1.64735877950998,0.0994843226952157,0.264239960692615
"CLIC5",17.9297784629746,-0.33058575821829,0.200683139662292,-1.6473021040761,0.0994959656435954,0.264239960692615
"EXOSC8",6.49419135764342,-0.401326261139676,0.243638650370746,-1.64721919337912,0.0995130001131825,0.264239960692615
"KHNYN",26.7369439681914,-0.271582033454319,0.164863250523908,-1.64731698902743,0.099492907692847,0.264239960692615
"ITFG2",6.71642562116948,-0.387474153582001,0.235301781272121,-1.64671151865993,0.0996173554890342,0.264305572009083
"KANSL3",40.5815524092321,-0.268870969005426,0.163270428179619,-1.64678302129294,0.0996026524437211,0.264305572009083
"MAPK7",7.49669119669019,-0.406548217471856,0.246866747781923,-1.64683263795006,0.0995924508164906,0.264305572009083
"MSH5",9.22221924022245,-0.439407010450647,0.266831741190686,-1.64675689814816,0.0996080239302538,0.264305572009083
"OTUD3",6.29067703400783,-0.397663124635027,0.241522078482746,-1.64648767157506,0.0996633962310053,0.264374884406548
"PECAM1",38.7021168903047,-0.316462228117275,0.192229850761468,-1.64626995684434,0.0997081919547171,0.264440867134249
"SIRT7",4.95114439538878,-0.480285152848885,0.291779437098304,-1.64605551928278,0.099752329084713,0.264505077161502
"MRPL20",7.13858389388812,-0.342390664763507,0.208051947340427,-1.64569795736286,0.0998259597868442,0.26464745160986
"MMADHC",30.2385137008099,-0.2491513944965,0.15145775088438,-1.6450224108154,0.0999651895687258,0.264959186620663
"RRAGA",10.2733082389149,-0.317333473753552,0.192915653259835,-1.64493377489768,0.0999834688701901,0.264959186620663
"ILF3",32.9170696021664,-0.280306849553585,0.170480654878492,-1.64421499760996,0.100131800095945,0.265258914646523
"TRIM68",9.94029336250531,-0.341353477219692,0.207611682483982,-1.64419204707341,0.100136539196454,0.265258914646523
"IRF2",42.177194515613,0.266312658491189,0.161989095328597,1.64401596262372,0.100172905163569,0.2653023031008
"INMT",3.15027694740444,-0.531018208991481,0.323047173473573,-1.64377915238104,0.100221829170641,0.265378926872348
"EXOG",7.11642883988164,-0.415336283819776,0.252696464838203,-1.64361731014206,0.100255276058336,0.26541454615045
"INTS11",12.1123416415506,-0.330680803536798,0.201202798191432,-1.64351990384436,0.100275410676529,0.265414915517496
"SLC22A16",2.19095477763509,-0.714246925860584,0.434739639421832,-1.6429302991797,0.100397355241658,0.265684707631134
"PYGO2",8.8971924213503,-0.341224458702461,0.207742865025816,-1.6425327467206,0.100479645450232,0.265843406435555
"TNFAIP2",44.9650780546642,-0.335633797278201,0.204349836269625,-1.6424471064188,0.100497379350129,0.265843406435555
"PNPO",16.3603046203617,-0.315083879147898,0.191857269826986,-1.64228272106674,0.100531426310995,0.265880484728461
"IMPACT",14.3402427660512,-0.361551559489372,0.220271059235604,-1.64139383877322,0.1007156880162,0.266314749547218
"WDR91",7.63223190387515,-0.486321944164478,0.2963063177711,-1.64128104936381,0.100739088034212,0.26632237490666
"ZNF264",72.1232839080845,-0.23766088191204,0.144810401498021,-1.64118654083897,0.100758698717888,0.26632237490666
"AC139495",38.7409180895606,-0.468425525835771,0.28548628653936,-1.64079869304402,0.100839209672327,0.266447228192102
"CD46",65.4861551898946,-0.248807603824927,0.151641162579634,-1.64076560474974,0.100846080641639,0.266447228192102
"SMG1P4",9.52399370532116,-0.360186504639225,0.219552998397464,-1.64054468519335,0.100891965383271,0.266515412636325
"GANAB",18.4961624774675,-0.310423352319367,0.189242938260774,-1.64034312282559,0.100933844169357,0.266572989953053
"PPP4R1",71.160048993758,-0.227076115319055,0.138440998598753,-1.64023748468614,0.100955798227044,0.266577932298744
"DDX25",2.37388651277793,0.51415154795711,0.313592935239681,1.63955080035251,0.101098599931041,0.266901912387557
"RAG1",2.7376976941716,0.498589687582056,0.304171193742682,1.6391745761561,0.101176907078218,0.267055530832424
"CYLD",69.3823434692541,-0.236894970061787,0.144542382480468,-1.63893085195132,0.101227661514551,0.267055537047463
